,Question,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
0,What is data science?,1.0,0.3,0.95,0.2,0.4,0.9,0.35,0.85,0.3,1.0
1,What are the key steps in the data science process?,0.95,0.3,1.0,0.2,0.85,0.95,0.4,1.0,0.25,0.95
2,What is the difference between supervised and unsupervised learning?,1.0,0.8,0.9,0.4,0.95,0.3,1.0,0.95,0.9,0.7
3,Explain the bias-variance tradeoff.,1.0,0.95,0.75,0.9,0.2,0.9,0.3,0.85,0.95,0.4
4,What is feature engineering?,1.0,0.3,0.95,0.2,0.9,0.4,0.95,0.25,1.0,0.35
5,How do you handle missing data in a dataset?,1.0,0.1,0.9,0.2,0.95,0.3,0.85,0.6,0.95,0.25
6,What is cross-validation?,1.0,0.25,0.95,0.2,1.0,0.3,0.9,0.85,0.4,0.95
7,Explain the concept of overfitting.,1.0,0.2,0.95,0.3,0.9,0.4,0.95,0.9,1.0,0.25
8,What are some common algorithms used in supervised learning?,1.0,0.2,0.9,0.2,0.95,0.3,0.9,0.15,1.0,0.4
9,What is dimensionality reduction?,1.0,0.4,0.95,0.2,0.9,0.3,0.95,0.2,0.85,0.6
10,What is regularization in machine learning?,1.0,0.2,0.95,0.3,0.9,0.25,0.95,0.2,1.0,0.3
11,What is ensemble learning?,1.0,0.5,0.95,0.3,0.95,0.4,0.9,0.5,0.95,0.3
12,What is the ROC curve?,1.0,0.3,0.95,0.2,0.9,0.25,0.95,0.4,0.9,0.2
13,What is AUC-ROC?,1.0,0.2,0.95,0.3,0.9,0.4,0.85,0.25,0.95,0.2
14,What is the difference between classification and regression?,1.0,0.3,0.95,0.2,0.9,0.4,0.9,0.3,0.95,0.5
15,What is clustering?,1.0,0.3,0.95,0.2,0.9,0.25,0.95,0.2,0.9,0.35
16,What is the curse of dimensionality?,1.0,0.3,0.95,0.25,0.9,0.2,0.9,0.3,0.95,0.25
17,What is the difference between precision and recall?,1.0,0.2,0.9,0.3,0.95,0.4,0.9,0.2,0.9,0.25
18,What is the F1 score?,1.0,0.2,0.95,0.3,1.0,0.2,0.9,0.25,0.95,0.3
19,What is the bias of an estimator?,1.0,0.3,0.95,0.4,0.9,0.3,0.9,0.4,0.95,0.3
20,What is the variance of an estimator?,1.0,0.3,0.95,0.2,0.95,0.3,0.9,0.35,0.95,0.4
21,What is the Central Limit Theorem?,1.0,0.3,0.95,0.25,0.95,0.3,0.9,0.2,0.2,1.0
22,What is regularization in neural networks?,1.0,0.3,0.95,0.3,0.9,0.2,0.95,0.25,1.0,0.3
